Session ID,Time Spent (seconds),Course Name,Date,Time
140,0.408,Course 1,2025-02-28,18:47:41
141,2.45,Talking about yourself,2025-02-28,18:54:19
142,1.865,Talking about family,2025-02-28,18:54:22
143,1.924,Animals and pets,2025-02-28,18:54:26
144,28.87,Talking about family,2025-02-28,18:54:28
145,3.864,Talking about family,2025-02-28,18:54:57
146,3.359,Talking about yourself,2025-02-28,18:56:01
147,1.655,Talking about family,2025-02-28,18:56:05
148,0.964,Animals and pets,2025-02-28,18:56:05
149,1.137,Classroom language,2025-02-28,18:56:06
150,0.639,Weather and seasons,2025-02-28,18:56:06
151,1.816,Numbers and numeracy,2025-02-28,18:56:07
152,0.904,"Days, months and dates",2025-02-28,18:56:07
153,0.663,Colours,2025-02-28,18:56:08
154,0.595,Clothes,2025-02-28,18:56:08
155,0.787,Food and drink,2025-02-28,18:56:09
156,0.596,Exploring the town,2025-02-28,18:56:09
157,5.282,Exploring the town,2025-02-28,18:56:09
158,1.308,Exploring the town,2025-02-28,18:56:59
159,1.268,Exploring the town,2025-02-28,18:57:04
160,5.294,Food and drink,2025-02-28,18:57:07
161,2.502,Weather and seasons,2025-02-28,18:57:08
162,3.413,Classroom language,2025-02-28,18:57:09
163,176.449,Numbers and numeracy,2025-02-28,18:57:09
164,1.032,Numbers and numeracy,2025-02-28,18:57:09
165,18.52,Numbers and numeracy,2025-02-28,19:01:41
27,6.897,Talking about yourself,2025-03-01,14:10:00
28,1.202,Talking about family,2025-03-01,14:10:08
29,3.393,Animals and pets,2025-03-01,14:10:11
30,17.315,Talking about yourself,2025-03-01,14:10:15
31,2.244,Talking about yourself,2025-03-01,14:10:32
32,0.793,Talking about yourself,2025-03-01,14:10:32
33,37.05,Talking about yourself,2025-03-01,14:10:52
34,7.834,Talking about yourself,2025-03-01,14:11:30
35,34.089,Talking about yourself,2025-03-01,14:11:37
36,14.155,Talking about yourself,2025-03-01,14:12:12
37,8.885,Talking about yourself,2025-03-01,14:12:26
38,6.969,Talking about yourself,2025-03-01,14:12:35
39,8.733,Talking about yourself,2025-03-01,14:12:42
40,8.44,Talking about yourself,2025-03-01,14:12:42
41,1.378,Talking about yourself,2025-03-01,14:13:03
42,4.946,Talking about yourself,2025-03-01,14:13:03
43,1.132,Talking about yourself,2025-03-01,14:13:10
44,14.274,Talking about yourself,2025-03-01,14:13:10
45,7.935,Talking about yourself,2025-03-01,14:13:27
46,8.086,Talking about yourself,2025-03-01,14:13:35
47,7.127,Talking about yourself,2025-03-01,14:13:43
48,9.168,Talking about yourself,2025-03-01,14:13:50
49,0.855,Talking about yourself,2025-03-01,14:13:50
50,1.738,Talking about family,2025-03-01,14:14:02
51,6.982,Talking about yourself,2025-03-01,14:14:14
52,0.591,Talking about yourself,2025-03-01,14:14:14
53,0.945,Talking about yourself,2025-03-01,14:14:14
